사업코드,시군구읍면동 명칭,공사시 생활폐기물 발생량,운영시 생활폐기물 발생량,생활폐기물 발생량,건설폐기물 처리현황_매립,건설폐기물 처리현황_소각,건설폐기물 처리현황_재활용,사업장배출시설계 폐기물의 처리 현황_매립,사업장배출시설계 폐기물의 처리 현황_소각,사업장배출시설계 폐기물의 처리 현황_재활용,사업장배출시설계 폐기물의 처리 현황_해역배출,사업장 지정 폐기물의 처리 현황_매립,사업장 지정 폐기물의 처리 현황_소각,사업장 지정 폐기물의 처리 현황_재활용,사업장 지정 폐기물의 처리 현황_기타,생성일,수정일,사용여부
HG2008E005,양주시,35.51,24.4,114800,7.5,0.2,428,168.9,51.2,109.2,130.3,,,,,,,Y
YS2009E001,무안군,35.6,0,55800,,3.2,188.6,0.8,3.2,63.5,,385.8,85.4,201.7,6.6,,,Y
ME2009E003,함양군,107.1,1272.84,26100,,,235.3,6,3.1,34.1,0.9,54.2,29.3,106.2,0.4,,,Y
ME2009E003,거창군,107.1,1272.84,73200,0.3,,108.9,,0.9,44,4.9,74.7,188.7,1778.7,,,,Y
ME2009E003,합천군,107.1,1272.84,39100,,,252.8,2.4,2.5,20.1,1.6,11.4,29.9,158.7,,,,Y
GG2010E004,공주시,109.52,,144600,,,,1.9,2.6,3,,2057.1,173.9,1478,1435.6,,,Y
GG2010E004,아산시,109.52,,485900,,,,176.2,138.9,731.3,67.1,9264,5143.8,68506.4,264.7,,,Y
DG2010E005,문경시,28.98,0,126300,,0.4,216,5.2,1.1,30.8,2.2,,,,,,,Y
DG2010E005,상주시,28.98,0,89000,16.1,0.7,521,10.4,15.4,36.9,16.6,,,,,,,Y
ME2009E004,합천군,104.06,1750,39100,0,0,252.8,2.4,2.5,20.1,1.6,,,,,,,Y
ME2009E004,의령군,104.06,1750,25600,0,0,210.2,36.3,11.7,44.4,12.9,,,,,,,Y
ME2009E004,창녕군,104.06,1750,54300,0,0.2,318.7,3.5,0.7,38.3,8.8,,,,,,,Y
DG2012E002,구미시,46.95,0,255200,40.9,11.2,1702.7,,,,,,,,,,,Y
WJ2011E001,정선군,78.3,0,69900,,0.1,489.1,,,,,,,,,,,Y
WJ2011E001,동해시,78.3,0,129800,,,410.1,,,,,,,,,,,Y
WJ2011E001,강릉시,78.3,0,311100,0.3,0.1,1071,,,,,,,,,,,Y
ME2011E006,고양시,130.1,100,877200,45.8,28.7,2118.5,415.8,32.1,128.3,167.9,3883.2,1603.9,6286.7,70.7,,,Y
ME2011E006,파주시,130.1,100,436000,24.8,16.2,2802.3,293.3,67.6,446.5,44.7,722.6,2398.6,32366.2,1232.2,,,Y
ND2014E002,고성군,40.17,0,32200,,,193.9,,,,,168.2,556.9,234,1.9,,,Y
ME2013E003,남양주시,300.3,7.8,436500,3.3,7.1,2035.4,,,,,,,,,,,Y
ME2013E003,양평군,300.3,7.8,79500,,1.8,671,,,,,,,,,,,Y
WJ2016E001,단양군,40.6,0,35800,,,301.9,2.2,0.6,951.7,,,,,,,,Y
WJ2016E001,영월군,40.6,0,35200,,0.1,408.8,13.1,,218.3,,,,,,,,Y
ME2015E002,화성시,42.3,135.79,323300,13.1,22,3818.5,741,91.7,1035.1,10.8,,,,,,,Y
ME2015E002,용인시,42.3,135.79,825000,0,4.8,2219.4,144.3,215.8,790,3.2,,,,,,,Y
ME2015E002,광주시,42.3,135.79,271200,4,0.6,700.2,48.8,33.4,134.2,0,,,,,,,Y
ME2014E001,포항시,206,1262.13,762500,131.8,14,2661.6,4564,581,18303.8,209.2,13547.5,21293.6,223978.5,8056.4,,,Y
ME2014E001,영덕군,206,1262.13,50000,,,561.2,5.5,11.2,59.1,1.3,400.7,23.7,0,6.3,,,Y
HG2007A003,수원시,24.22,132643,822700,101.5,0.1,1838.4,37.8,102.6,111.6,250.6,,,,,,,Y
HG2007A003,용인시,24.22,132643,371800,,50,7312.7,75.9,58.4,221.2,79.3,,,,,,,Y
ME2007A160,공주시,2710.8,153000,123400,508.4,2.8,744.6,,,,,,,,,,,Y
ME2007A160,연기군,2710.8,153000,50600,0,0.2,184.7,,,,,,,,,,,Y
ME2007A163,울산광역시,69.1,78123.9,1071500,12,63.4,2890.2,710.5,241.6,2787.5,1410.9,48309.3,95892,117946.6,10253.9,,,Y
ME2007A163,중구,69.1,78123.9,201500,0.6,0.9,278.5,,,,,14.3,44.8,263.6,,,,Y
ME2007A168,김포시,82.9,126100,181600,26.6,0.3,959.2,20.2,10,143.4,14.1,,,,,,,Y
ME2007A195,시흥시,88.7,56590,270900,4.6,,706.4,91.1,418.2,314.3,162.6,15560.6,15145.2,34489.1,17510.9,,,Y
ME2007A123,태안군,1388.22,7520,65400,8,2.3,242.9,838.5,0.7,2129.4,2.3,142,107.4,626.7,,,,Y
ME2007A123,서산시,1388.22,7520,143600,0.7,3.6,446.7,30.3,15.8,83.8,29.2,255,4010.9,9238.3,495.7,,,Y
ME2007A204,인천광역시 남동구,23.7,38108,337200,94,27,1748.9,195.2,42.2,186.7,70,,,,,,,Y
ME2008A077,괴산군,129.1,5021.8,72200,,0.2,196.9,1.3,1.4,10.2,50.5,,,,,,,Y
GG2008A004,공주시,35.72,329,123400,508.4,2.8,744.6,8,4.9,88.9,14.1,163.8,189.6,833.1,60.7,,,Y
ME2007A205,속초시,62,15.5,110200,5,3.7,435.8,11.1,,1.3,635,,,,,,,Y
ME2007A205,양양군,62,15.5,45200,0,42.9,834.6,0.6,0.2,2.5,0.1,,,,,,,Y
ME2007B007,인천광역시,217.5,162200,2213000,,,,1845.4,207,4901,284.7,134347.3,19660.9,101121.5,5221.4,,,Y
GG2008A002,청주시,47.9,35123,845500,,1.1,511.6,47.5,121.5,347.2,124.9,1354.1,2496.7,13864.9,2683,,,Y
ME2007A164,성남시,173.3,108334,817400,34.5,13.8,2374.9,75,191.1,110.7,173.1,,,,,,,Y
ME2007A164,서울시 송파구,173.3,108334,929700,127.6,15.4,1813.9,14,17.5,36.5,2.4,,,,,,,Y
ME2007A164,하남시,173.3,108334,128500,2,0.4,790.2,43.7,0.8,13.2,0.4,,,,,,,Y
ME2007A198,아산시,249.4,189974,279500,2.3,16,1515.5,125.5,115.2,653.6,15.5,,,,,,,Y
ME2007A198,천안시,249.4,189974,813800,10.7,18.2,1834.7,105.3,80.5,289,213.2,,,,,,,Y
JJ2007A003,군산시,21.2,10168.5,238700,3.4,15.9,1046.6,158.9,472.3,1155.5,161.2,,,,,,,Y
GG2009A004,서천군,32.2,2946,38300,0.2,0.3,240.6,3,2.1,1552.4,774.5,,,,,,,Y
ME2009A013,하남시,100,154086.9,128500,2,0.4,790.2,43.7,0.8,13.2,0.4,,,,,,,Y
WJ2007A004,춘천시,149.33,15290,349100,0.1,0.7,375.9,3.7,,4.8,34.6,,,,,,,Y
